2020.06.15 14:35:10 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2020.06.15 14:35:12 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2020.06.15 14:35:14 INFO  web[][o.e.p.PluginsService] no modules loaded
2020.06.15 14:35:14 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2020.06.15 14:35:14 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2020.06.15 14:35:14 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2020.06.15 14:35:16 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2020.06.15 14:35:16 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.2.0.32929 / ffde725e701a0acdc2bfac653743c4d91063cd45
2020.06.15 14:35:17 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.06.15 14:35:18 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\SonarQube\sonarqube-8.2.0.32929\data
2020.06.15 14:35:18 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2020.06.15 14:35:18 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2020.06.15 14:35:19 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\SonarQube\sonarqube-8.2.0.32929
2020.06.15 14:35:19 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.9.1.1834 / 178899f274b2e5340ea158ab885608a8ea228b61
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin JaCoCo / 1.0.2.475 / b79a4724f3a9af1051266b4f8ca0460977295ead
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarC# / 8.4.0.15306 / 55b44af00b78ca850c288d4e06cde496c240e14b
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarCSS / 1.2.0.1325 / 8dc9fe17b6230c20715d3b4cb34e0b6d02151afd
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarFlex / 2.5.1.1831 / a0c44437f6abb0feec76edd073f91fec64db2a6c
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarGo / 1.6.0.719 / edcc6a9e42fcdd30bb6f84a779c6cd7009ec72fd
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarHTML / 3.2.0.2082 / 997a51b39c4d0a5399c73a8fb729030a69eb392b
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJS / 6.2.0.12043 / 8b9c1eb83d6ecfd2eda2cc3798e593900b6735fd
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJava / 6.1.0.20866 / 057371cc3c87cb91535d78a247aa4337413e0087
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarKotlin / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 3.3.0.5166 / 88e11dffb965aeef9d5bdd6d8413f394d35fecba
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 2.5.0.5733 / a461002242ab2701d6fe4ba278dc62d95dd30ea2
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarRuby / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarScala / 1.5.0.315 / 4ff3a145a58f3f84f1b39846a205a129d742e993
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarTS / 2.1.0.4359 / 268ba9581b700c4fb2bc194d4069d283da915213
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarVB / 8.4.0.15306 / 55b44af00b78ca850c288d4e06cde496c240e14b
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 2.0.1.2020 / c5b84004face582d56f110e24c29bf9c6a679e69
2020.06.15 14:35:21 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Svn / 1.9.0.1295 / 942e075773975354e32691a60bfd968065703e04
2020.06.15 14:35:25 WARN  web[][o.a.c.u.SessionIdGeneratorBase] Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [497] milliseconds.
2020.06.15 14:35:25 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@5cc46596 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2020.06.15 14:35:25 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2020.06.15 14:35:28 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2020.06.15 14:35:29 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AXC_vH05m3ivKz7ctbOl
2020.06.15 14:35:29 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2020.06.15 14:35:29 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2020.06.15 14:35:29 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2020.06.15 14:35:29 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2020.06.15 14:35:29 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2020.06.15 14:35:29 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2020.06.15 14:35:29 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2020.06.15 14:35:29 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2020.06.15 14:35:29 INFO  web[][o.s.s.r.RegisterRules] Register rules
2020.06.15 14:35:35 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2020.06.15 14:35:36 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2020.06.15 14:35:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
